District,Month,Cases,Year
Jaffna,2,0,2010
Kalutara,2,15,2010
Kandy,2,0,2010
Kegalle,2,26,2010
Kilinochchi,2,0,2010
Kurunegala,2,80,2010
Mannar,2,0,2010
Matale,2,8,2010
Matara,2,29,2010
Monaragala,2,4,2010
Mullaitivu,2,0,2010
Nuwara Eliya,2,1,2010
Polonnaruwa,2,8,2010
Puttalam,2,18,2010
Ratnapura,2,28,2010
Trincomalee,2,1,2010
Vavuniya,2,0,2010
Ampara,3,2,2010
Anuradhapura,3,8,2010
Badulla,3,4,2010
Batticaloa,3,0,2010
Colombo,3,103,2010
Galle,3,15,2010
Gampaha,3,59,2010
Hambantota,3,2,2010
Jaffna,3,0,2010
Kalutara,3,71,2010
Kandy,3,12,2010
Kegalle,3,29,2010
Kilinochchi,3,0,2010
Kurunegala,3,35,2010
Mannar,3,0,2010
Matale,3,2,2010
Matara,3,59,2010
Monaragala,3,3,2010
Mullaitivu,3,0,2010
Nuwara Eliya,3,4,2010
Polonnaruwa,3,7,2010
Puttalam,3,26,2010
Ratnapura,3,55,2010
Trincomalee,3,1,2010
Vavuniya,3,0,2010
Ampara,4,1,2010
Anuradhapura,4,11,2010
Badulla,4,11,2010
Batticaloa,4,4,2010
Colombo,4,39,2010
Galle,4,10,2010
Gampaha,4,21,2010
Hambantota,4,1,2010
Jaffna,4,0,2010
Kalutara,4,23,2010
Kandy,4,3,2010
Kegalle,4,9,2010
Kilinochchi,4,0,2010
Kurunegala,4,19,2010
Mannar,4,0,2010
Matale,4,17,2010
Matara,4,26,2010
Monaragala,4,4,2010
Mullaitivu,4,0,2010
Nuwara Eliya,4,1,2010
Polonnaruwa,4,3,2010
Puttalam,4,3,2010
Ratnapura,4,42,2010
Trincomalee,4,0,2010
Vavuniya,4,0,2010
Ampara,5,6,2010
Anuradhapura,5,10,2010
Badulla,5,4,2010
Batticaloa,5,2,2010
Colombo,5,52,2010
Galle,5,8,2010
Gampaha,5,24,2010
Hambantota,5,18,2010
Jaffna,5,1,2010
Kalutara,5,26,2010
Kandy,5,15,2010
Kegalle,5,17,2010
Kilinochchi,5,0,2010
Kurunegala,5,34,2010
Mannar,5,0,2010
Matale,5,8,2010
Matara,5,40,2010
Monaragala,5,9,2010
Mullaitivu,5,0,2010
Nuwara Eliya,5,5,2010
Polonnaruwa,5,6,2010
Puttalam,5,1,2010
Ratnapura,5,29,2010
Trincomalee,5,0,2010
Vavuniya,5,1,2010
Ampara,6,7,2010
Anuradhapura,6,15,2010
Badulla,6,9,2010
Batticaloa,6,3,2010
Colombo,6,76,2010
Galle,6,7,2010
Gampaha,6,42,2010
Hambantota,6,22,2010
Jaffna,6,0,2010
Kalutara,6,33,2010
Kandy,6,12,2010
Kegalle,6,30,2010
Kilinochchi,6,0,2010
Kurunegala,6,25,2010
Mannar,6,0,2010
Matale,6,13,2010
Matara,6,25,2010
Monaragala,6,1,2010
Mullaitivu,6,0,2010
Nuwara Eliya,6,2,2010
Polonnaruwa,6,7,2010
Puttalam,6,3,2010
Ratnapura,6,47,2010
